Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2115.0,-4.6,+38
2,South Carolina,1996.0,-0.7,+62
3,Texas,1977.0,-0.7,+50
4,Iowa State,1960.0,-0.4,-51
5,Duke,1949.0,-0.4,+32
6,NC State,1939.0,-0.7,+45
7,Auburn,1922.0,-0.1,+0
8,Gonzaga,1919.0,-0.0,-65
9,Tennessee,1919.0,-0.1,-3
10,USC,1916.0,-0.7,+30
11,Iowa,1899.0,-0.5,+13
12,Illinois,1885.0,-0.1,+16
13,LSU,1882.0,-0.2,+30
14,Purdue,1876.0,-0.2,+76
15,Houston,1870.0,-0.0,+5
16,UNC,1869.0,-0.1,-69
17,Creighton,1867.0,-0.9,-34
18,Arizona,1845.0,-0.0,-24
19,Alabama,1844.0,-0.1,+22
20,Texas A&M,1841.0,-0.0,-14
21,Baylor,1840.0,-0.2,-35
22,Ohio State,1836.0,-0.1,-41
23,Colorado,1834.0,-0.4,-30
24,Indiana,1825.0,-0.1,+10
25,Nebraska,1822.0,-0.2,-33
26,UCLA,1816.0,-0.1,+1
27,Notre Dame,1814.0,-0.0,+7
28,Utah,1813.0,-0.0,+39
29,Marquette,1812.0,-0.5,+3
30,Michigan State,1798.0,-0.1,+0
31,Penn State,1796.0,-0.0,+19
32,UNLV,1795.0,-0.2,-44
33,St. John's (NY),1790.0,-0.1,-12
34,Washington State,1788.0,-0.1,+17
35,Oklahoma,1785.0,-0.0,-16
36,Stanford,1784.0,-0.1,+23
37,Mississippi State,1781.0,-0.1,-3
38,Virginia Tech,1779.0,-0.0,-10
39,Ole Miss,1778.0,-0.1,-26
40,Oregon State,1775.0,-0.1,+52
41,Drake,1773.0,-0.2,+0
42,Kansas State,1768.0,-0.0,-19
43,Seton Hall,1767.0,-0.1,+55
44,Kansas,1764.0,-0.6,-19
45,Villanova,1749.0,-0.1,+34
46,Florida,1747.0,-0.3,+0
47,Kentucky,1740.0,-0.0,+0
48,Colorado State,1739.0,-0.2,+0
49,Texas Tech,1735.0,-0.1,+0
50,Clemson,1733.0,,+46
